,0
0,-1.4612510913527927
1,-1.4629829560582452
2,-1.4649442320919022
3,-1.4671360466280574
4,-1.4695578857765508
5,-1.4722075803543295
6,-1.4750813026410552
7,-1.4781735743345923
8,-1.4814772858479057
9,-1.4849837270114707
10,-1.4886826291654502
11,-1.4925622185440912
12,-1.4966092807716866
13,-1.5008092362054462
14,-1.5051462257766794
15,-1.5096032068980811
16,-1.5141620589227016
17,-1.5188036975596164
18,-1.5235081975735403
19,-1.5282549230209632
20,-1.5330226642046334
21,-1.5377897804622433
22,-1.542534347844148
23,-1.547234310680127
24,-1.5518676359865822
25,-1.5564124696240849
26,-1.5608472930812778
27,-1.5651510797351187
28,-1.5693034494199156
29,-1.5732848201288494
30,-1.5770765556718689
31,-1.5806611081234205
32,-1.5840221539123092
33,-1.5871447224344744
34,-1.5900153161071988
35,-1.592622020830568
36,-1.5949546058783484
37,-1.5970046123057915
38,-1.598765429035868
39,-1.600232355867424
40,-1.6014026527386709
41,-1.602275574676169
42,-1.6028523919628883
43,-1.6031363951678559
44,-1.6031328847939585
45,-1.6028491454184208
46,-1.6022944043217402
47,-1.6014797747242735
48,-1.6004181838743379
49,-1.5991242863565653
50,-1.5976143631132906
51,-1.5959062067938747
52,-1.594018994166126
53,-1.5919731464389733
54,-1.5897901784558548
55,-1.5874925378220484
56,-1.585103435126194
57,-1.5826466665051115
58,-1.580146429880822
59,-1.5776271362689283
60,-1.5751132176170244
61,-1.5726289326801854
62,-1.5701981724770802
63,-1.5678442668943973
64,-1.5655897940187118
65,-1.5634563937731567
66,-1.5614645874213728
67,-1.5596336044728782
68,-1.5579812184823174
69,-1.5565235931802914
70,-1.555275140305651
71,-1.554248390428949
72,-1.553453877964389
73,-1.5529000414639245
74,-1.5525931401727728
75,-1.5525371877013425
76,-1.5527339035354495
77,-1.5531826829655277
78,-1.5538805858678728
79,-1.5548223446173268
80,-1.5560003912531593
81,-1.557404903859077
82,-1.5590238719557719
83,-1.560843180541748
84,-1.5628467122565546
85,-1.5650164669815019
86,-1.5673326980379452
87,-1.5697740639936133
88,-1.572317794944563
89,-1.574939872005685
90,-1.577615218617339
91,-1.5803179021609917
92,-1.5830213442738321
93,-1.5856985381621334
94,-1.5883222711368155
95,-1.590865350532804
96,-1.5933008311272996
97,-1.5956022421414344
98,-1.5977438118955472
99,-1.5997006881906102
100,-1.6014491525075845
101,-1.6029668261524583
102,-1.6042328665274175
103,-1.6052281517777374
104,-1.605935452149077
105,-1.6063395864902632
106,-1.6064275624519109
107,-1.606188699060016
108,-1.6056147304854447
109,-1.6046998899835638
110,-1.603440973142059
111,-1.6018373797477383
112,-1.5998911337636152
113,-1.597606881094031
114,-1.5949918650064903
115,-1.5920558792727353
116,-1.5888111992863734
117,-1.5852724916086727
118,-1.581456702585995
119,-1.5773829268701172
120,-1.5730722568546631
121,-1.5685476142153592
122,-1.5638335649071324
123,-1.5589561191257957
124,-1.5539425178845643
125,-1.5488210079846199
126,-1.5436206072731928
127,-1.5383708621807632
128,-1.5331015996104074
129,-1.52784267531568
130,-1.522623720948383
131,-1.5174738919834754
132,-1.5124216187347104
133,-1.5074943626613657
134,-1.502718380133472
135,-1.49811849577044
136,-1.4937178873962655
137,-1.489537884564136
138,-1.485597782494768
139,-1.4819146731472235
140,-1.4785032949992423
141,-1.4753759029572606
142,-1.472542159646006
143,-1.4700090491447528
144,-1.467780814044139
145,-1.4658589164950113
146,-1.464242023711357
147,-1.462926018174418
148,-1.4619040325667592
149,-1.4611665092452517
150,-1.4607012838424773
151,-1.4604936923692105
152,-1.4605267009781282
