,0
0,29.0
1,29.0
2,29.0
3,29.0
4,29.0
5,29.0
6,28.0
7,26.0
8,25.0
9,29.0
10,28.0
11,32.0
12,36.0
13,27.0
14,23.0
15,31.0
16,29.0
17,19.0
18,17.0
19,18.0
20,16.0
21,22.0
22,27.0
23,29.0
24,26.0
25,25.0
26,18.0
27,13.0
28,15.0
29,18.0
30,23.0
31,28.0
32,32.0
33,33.0
34,35.0
35,35.0
36,35.0
37,33.0
38,31.0
39,31.0
40,29.0
41,29.0
42,27.0
43,27.0
44,27.0
45,26.0
46,26.0
47,26.0
48,27.0
49,29.0
50,33.0
51,29.0
52,23.0
53,26.0
54,23.0
55,22.0
56,23.0
57,23.0
58,17.0
59,15.0
60,17.0
61,14.0
62,29.0
63,27.0
64,26.0
65,31.0
66,31.0
67,29.0
68,30.0
69,27.0
70,25.0
71,29.0
72,31.0
73,33.0
74,32.0
75,32.0
76,31.0
77,29.0
78,28.0
79,27.0
80,28.0
81,29.0
82,28.0
83,27.0
84,27.0
85,28.0
86,27.0
87,28.0
88,27.0
89,27.0
90,25.0
91,26.0
92,26.0
93,27.0
94,29.0
95,32.0
96,34.0
97,24.0
98,25.0
99,27.0
100,24.0
101,20.0
102,15.0
103,17.0
104,23.0
105,27.0
106,31.0
107,30.0
108,25.0
109,20.0
110,19.0
111,18.0
112,22.0
113,29.0
114,29.0
115,29.0
116,29.0
117,28.0
118,26.0
119,26.0
120,27.0
121,27.0
122,27.0
123,29.0
124,27.0
125,26.0
126,28.0
127,27.0
128,27.0
129,28.0
130,26.0
131,24.0
132,26.0
133,30.0
134,30.0
135,22.0
136,24.0
137,23.0
138,19.0
139,15.0
140,20.0
141,24.0
142,26.0
143,30.0
144,35.0
145,36.0
146,23.0
147,23.0
148,17.0
149,23.0
150,27.0
151,39.0
152,40.0
153,31.0
154,34.0
155,35.0
156,35.0
157,37.0
158,36.0
159,35.0
160,31.0
161,30.0
162,28.0
163,29.0
164,25.0
165,26.0
166,25.0
167,27.0
168,21.0
169,19.0
170,26.0
171,32.0
172,35.0
173,33.0
174,26.0
175,21.0
176,16.0
177,16.0
178,22.0
179,21.0
180,18.0
181,14.0
182,19.0
183,23.0
184,22.0
185,28.0
186,23.0
187,27.0
188,23.0
189,7.0
190,15.0
191,19.0
192,30.0
193,31.0
194,31.0
195,30.0
196,29.0
197,29.0
198,29.0
199,28.0
200,29.0
201,29.0
202,28.0
203,27.0
204,26.0
205,27.0
206,28.0
207,28.0
208,29.0
209,29.0
210,30.0
211,30.0
212,26.0
213,26.0
214,25.0
215,28.0
216,26.0
217,24.0
218,26.0
219,25.0
220,23.0
221,21.0
222,25.0
223,21.0
224,16.0
225,34.0
226,35.0
227,22.0
228,22.0
229,25.0
230,21.0
231,28.0
232,38.0
233,44.0
234,44.0
235,36.0
236,34.0
237,31.0
238,32.0
239,32.0
240,31.0
241,32.0
242,32.0
243,30.0
244,29.0
245,28.0
246,27.0
247,26.0
248,26.0
249,24.0
250,23.0
251,25.0
252,30.0
253,30.0
254,30.0
255,25.0
256,22.0
257,18.0
258,25.0
259,28.0
260,21.0
261,20.0
262,13.0
263,18.0
264,18.0
265,20.0
266,19.0
267,15.0
268,10.0
269,12.0
270,18.0
271,25.0
272,33.0
273,33.0
274,31.0
275,31.0
276,30.0
277,29.0
278,28.0
279,29.0
280,29.0
281,29.0
282,27.0
283,26.0
284,28.0
285,27.0
286,28.0
287,27.0
288,28.0
289,29.0
290,28.0
291,27.0
292,28.0
293,27.0
294,28.0
295,30.0
296,27.0
297,24.0
298,30.0
299,28.0
300,28.0
301,27.0
302,19.0
303,16.0
304,18.0
305,25.0
306,25.0
307,29.0
308,26.0
309,30.0
310,31.0
311,32.0
312,27.0
313,28.0
314,34.0
315,32.0
316,32.0
317,30.0
318,31.0
319,30.0
320,30.0
321,29.0
322,28.0
323,28.0
324,28.0
325,27.0
326,26.0
327,25.0
328,26.0
329,27.0
330,26.0
331,23.0
332,25.0
333,27.0
334,28.0
335,32.0
336,24.0
337,20.0
338,22.0
339,26.0
340,27.0
341,26.0
342,24.0
343,24.0
344,29.0
345,27.0
346,24.0
347,19.0
348,17.0
349,21.0
350,21.0
351,20.0
352,23.0
353,33.0
354,34.0
355,30.0
356,30.0
357,29.0
358,28.0
359,28.0
360,27.0
361,25.0
362,25.0
363,25.0
364,25.0
365,26.0
366,26.0
367,27.0
368,26.0
369,26.0
370,28.0
371,28.0
372,28.0
373,27.0
374,27.0
375,27.0
376,26.0
377,23.0
378,23.0
379,23.0
380,21.0
381,23.0
382,19.0
383,22.0
384,23.0
385,26.0
386,29.0
387,31.0
388,33.0
389,32.0
390,32.0
391,31.0
392,32.0
393,32.0
394,30.0
395,30.0
396,30.0
397,29.0
398,28.0
399,27.0
400,27.0
401,27.0
402,27.0
403,26.0
404,26.0
405,25.0
406,25.0
407,24.0
408,24.0
409,24.0
410,24.0
411,24.0
412,26.0
413,27.0
414,29.0
415,31.0
416,35.0
417,26.0
418,27.0
419,28.0
420,19.0
421,18.0
422,25.0
423,30.0
424,27.0
425,22.0
426,14.0
427,16.0
428,19.0
429,21.0
430,26.0
431,30.0
432,28.0
433,24.0
434,25.0
435,26.0
436,28.0
437,31.0
438,30.0
439,30.0
440,29.0
441,29.0
442,29.0
443,31.0
444,30.0
445,28.0
446,28.0
447,29.0
448,27.0
449,27.0
450,26.0
451,25.0
452,26.0
453,27.0
454,28.0
455,23.0
456,21.0
457,23.0
458,22.0
459,22.0
460,20.0
461,23.0
462,24.0
463,25.0
464,29.0
465,28.0
466,30.0
467,31.0
468,32.0
469,35.0
470,30.0
471,30.0
472,34.0
473,32.0
474,29.0
475,27.0
476,29.0
477,30.0
478,28.0
479,28.0
480,28.0
481,28.0
482,28.0
483,28.0
484,27.0
485,27.0
486,26.0
487,25.0
488,25.0
489,26.0
490,24.0
491,25.0
492,25.0
493,27.0
494,27.0
495,30.0
496,25.0
497,21.0
498,22.0
499,22.0
500,21.0
501,23.0
502,28.0
503,26.0
504,26.0
505,23.0
506,21.0
507,17.0
508,12.0
509,18.0
510,23.0
511,27.0
512,30.0
513,30.0
514,29.0
515,28.0
516,27.0
517,27.0
518,28.0
519,32.0
520,31.0
521,30.0
522,30.0
523,30.0
524,29.0
525,30.0
526,30.0
527,29.0
528,28.0
529,27.0
530,27.0
531,25.0
532,24.0
533,24.0
534,25.0
535,25.0
536,23.0
537,24.0
538,24.0
539,24.0
540,24.0
541,30.0
542,26.0
543,22.0
544,20.0
545,22.0
546,23.0
547,25.0
548,26.0
549,36.0
550,32.0
551,19.0
552,24.0
553,23.0
554,24.0
555,23.0
556,14.0
557,4.0
558,17.0
559,22.0
560,23.0
561,22.0
562,24.0
563,25.0
564,26.0
565,28.0
566,27.0
567,26.0
568,25.0
569,25.0
570,25.0
571,26.0
572,27.0
573,31.0
574,35.0
575,36.0
576,36.0
577,35.0
578,35.0
579,35.0
580,34.0
581,33.0
582,32.0
583,31.0
584,28.0
585,29.0
586,27.0
587,27.0
588,28.0
589,29.0
590,29.0
591,29.0
592,29.0
593,29.0
594,34.0
595,34.0
596,35.0
597,34.0
598,35.0
599,33.0
600,33.0
601,31.0
602,30.0
603,28.0
604,28.0
605,27.0
606,27.0
607,26.0
608,25.0
609,24.0
610,24.0
611,24.0
612,23.0
613,25.0
614,26.0
615,24.0
616,24.0
617,21.0
618,18.0
619,31.0
620,33.0
621,30.0
622,33.0
623,32.0
624,33.0
625,32.0
626,30.0
627,30.0
628,30.0
629,31.0
630,30.0
631,28.0
632,26.0
633,25.0
634,24.0
635,23.0
636,23.0
637,24.0
638,24.0
639,22.0
640,24.0
641,24.0
642,23.0
643,21.0
644,26.0
645,26.0
646,36.0
647,31.0
648,19.0
649,16.0
650,17.0
651,18.0
652,22.0
653,27.0
654,29.0
655,26.0
656,24.0
657,25.0
658,30.0
659,28.0
660,33.0
661,35.0
662,38.0
663,37.0
664,37.0
665,37.0
666,35.0
667,34.0
668,32.0
669,29.0
670,29.0
671,30.0
672,29.0
673,29.0
674,29.0
675,34.0
676,32.0
677,22.0
678,20.0
679,20.0
680,16.0
681,16.0
682,21.0
683,22.0
684,26.0
685,24.0
686,26.0
687,27.0
688,26.0
689,27.0
690,26.0
691,28.0
692,29.0
693,30.0
694,29.0
695,28.0
696,29.0
697,28.0
698,27.0
699,29.0
700,27.0
701,25.0
702,26.0
703,30.0
704,34.0
705,36.0
706,36.0
707,35.0
708,34.0
709,33.0
710,32.0
711,32.0
712,32.0
713,34.0
714,34.0
715,20.0
716,15.0
717,16.0
718,20.0
719,31.0
720,33.0
721,31.0
722,31.0
723,27.0
724,16.0
725,18.0
726,27.0
727,31.0
728,33.0
729,33.0
730,35.0
731,39.0
732,39.0
733,35.0
734,34.0
735,33.0
736,32.0
737,31.0
738,29.0
739,28.0
740,28.0
741,26.0
742,26.0
743,25.0
744,22.0
745,26.0
746,30.0
747,35.0
748,31.0
749,25.0
750,29.0
751,32.0
752,35.0
753,34.0
754,37.0
755,36.0
756,34.0
757,34.0
758,33.0
759,33.0
760,32.0
761,31.0
762,28.0
763,27.0
764,24.0
765,28.0
766,26.0
767,23.0
768,24.0
769,22.0
770,22.0
771,23.0
772,22.0
773,23.0
774,23.0
775,26.0
776,32.0
777,34.0
778,30.0
779,30.0
780,32.0
