,0
0,36.0
1,30.0
2,30.0
3,29.0
4,35.0
5,38.0
6,40.0
7,41.0
8,43.0
9,42.0
10,48.0
11,54.0
12,52.0
13,46.0
14,37.0
15,32.0
16,31.0
17,29.0
18,26.0
19,26.0
20,26.0
21,25.0
22,26.0
23,28.0
24,32.0
25,32.0
26,29.0
27,24.0
28,26.0
29,33.0
30,39.0
31,39.0
32,37.0
33,40.0
34,43.0
35,46.0
36,48.0
37,49.0
38,47.0
39,46.0
40,46.0
41,46.0
42,44.0
43,43.0
44,41.0
45,39.0
46,38.0
47,37.0
48,35.0
49,34.0
50,32.0
51,32.0
52,32.0
53,32.0
54,32.0
55,33.0
56,33.0
57,33.0
58,33.0
59,34.0
60,34.0
61,34.0
62,34.0
63,35.0
64,35.0
65,36.0
66,36.0
67,36.0
68,36.0
69,34.0
70,31.0
71,30.0
72,32.0
73,31.0
74,34.0
75,36.0
76,37.0
77,37.0
78,39.0
79,39.0
80,37.0
81,36.0
82,39.0
83,42.0
84,42.0
85,41.0
86,40.0
87,40.0
88,39.0
89,38.0
90,36.0
91,36.0
92,40.0
93,48.0
94,56.0
95,56.0
96,48.0
97,39.0
98,33.0
99,26.0
100,24.0
101,27.0
102,23.0
103,17.0
104,16.0
105,20.0
106,24.0
107,24.0
108,26.0
109,32.0
110,38.0
111,44.0
112,43.0
113,42.0
114,42.0
115,44.0
116,45.0
117,48.0
118,49.0
119,50.0
120,48.0
121,45.0
122,42.0
123,41.0
124,39.0
125,38.0
126,36.0
127,35.0
128,34.0
129,33.0
130,31.0
131,31.0
132,31.0
133,32.0
134,33.0
135,33.0
136,34.0
137,35.0
138,35.0
139,35.0
140,34.0
141,34.0
142,34.0
143,34.0
144,34.0
145,34.0
146,34.0
147,35.0
148,36.0
149,37.0
150,37.0
151,35.0
152,32.0
153,30.0
154,32.0
155,34.0
156,35.0
157,34.0
158,33.0
159,34.0
160,36.0
161,37.0
162,40.0
163,43.0
164,47.0
165,47.0
166,45.0
167,44.0
168,41.0
169,38.0
170,38.0
171,38.0
172,42.0
173,45.0
174,48.0
175,45.0
176,38.0
177,33.0
178,28.0
179,26.0
180,29.0
181,28.0
182,24.0
183,25.0
184,29.0
185,32.0
186,33.0
187,31.0
188,32.0
189,36.0
190,39.0
191,40.0
192,40.0
193,41.0
194,43.0
195,44.0
196,44.0
