,0
0,25
1,25
2,29
3,31
4,32
5,31
6,30
7,28
8,26
9,24
10,23
11,23
12,24
13,25
14,27
15,28
16,30
17,31
18,33
19,35
20,37
21,38
22,40
23,42
24,44
25,46
26,47
27,47
28,46
29,44
30,42
31,40
32,39
33,39
34,38
35,38
36,37
37,36
38,35
39,34
40,34
41,34
42,35
43,36
44,37
45,38
46,39
47,39
48,39
49,39
50,38
51,37
52,36
53,35
54,34
55,33
56,32
57,31
58,30
59,29
60,29
61,30
62,31
63,33
64,34
65,32
66,29
67,25
68,21
69,20
70,19
71,21
72,22
73,23
74,24
75,24
76,25
77,25
78,27
79,31
80,36
81,42
82,46
83,47
84,46
85,43
86,41
87,39
88,39
89,39
90,39
91,38
92,38
93,37
94,37
95,37
96,36
97,35
98,34
99,32
100,32
101,32
102,31
103,30
104,28
105,27
106,26
107,26
108,27
109,29
110,32
111,34
112,35
113,34
114,32
115,30
116,28
117,25
118,24
119,23
120,24
121,27
122,31
123,36
124,41
125,44
126,46
127,46
128,45
129,43
130,41
131,38
132,36
133,35
134,34
135,35
136,37
137,38
138,38
139,38
140,38
141,38
142,39
143,40
144,41
145,42
146,42
147,41
148,40
149,40
150,39
151,37
152,36
153,34
154,33
155,32
156,32
157,32
158,31
159,29
160,28
161,28
162,30
163,32
164,34
165,34
166,31
167,27
168,24
169,23
170,22
171,22
172,20
173,19
174,18
175,19
176,22
177,25
178,27
179,28
180,27
181,25
182,23
183,22
184,23
185,24
186,27
187,28
188,30
189,31
190,32
191,34
192,34
193,34
194,34
195,34
196,34
197,34
198,35
199,37
200,38
201,39
202,40
203,41
204,43
205,46
206,48
207,50
208,51
209,52
210,51
211,49
212,48
213,46
214,45
215,44
216,42
217,41
218,39
219,37
220,36
221,35
222,34
223,32
224,30
225,29
226,28
227,28
228,30
229,31
230,32
231,33
232,33
233,33
234,33
235,32
236,29
237,27
238,24
239,22
240,21
241,20
242,20
243,19
244,17
245,15
246,15
247,16
248,20
249,24
250,28
251,31
252,34
253,36
254,38
255,40
256,42
257,43
258,44
259,45
260,45
261,46
262,46
263,46
264,45
265,44
266,42
267,41
268,40
269,41
270,42
271,45
272,47
273,48
274,47
275,46
276,44
277,42
278,41
279,39
280,37
281,35
282,33
283,31
284,30
285,29
286,28
287,27
288,26
289,26
290,27
291,29
292,31
293,32
294,31
295,31
296,31
297,31
298,32
299,32
300,30
301,28
302,26
303,24
304,25
305,27
306,29
307,30
308,31
309,30
310,29
311,29
312,28
313,28
314,27
315,26
316,26
317,25
318,24
319,24
320,25
321,28
322,32
323,37
324,42
325,45
326,47
327,47
328,45
329,43
330,41
331,39
332,38
333,38
334,38
335,39
336,39
337,38
338,37
339,37
340,36
341,37
342,38
343,38
344,39
345,38
346,37
347,35
348,33
349,30
350,29
351,28
352,28
353,27
354,25
355,22
356,19
357,18
358,19
359,22
360,24
361,24
362,22
363,19
364,17
365,18
366,21
367,25
368,29
369,32
370,33
371,34
372,35
373,35
374,35
375,35
376,35
377,35
378,34
379,34
380,34
381,33
382,33
383,34
384,34
385,35
386,36
387,38
388,40
389,43
390,45
391,46
392,45
393,42
394,39
395,36
396,34
397,33
398,32
399,33
400,34
401,36
402,39
403,41
404,42
405,43
406,43
407,44
408,44
409,45
410,45
411,45
412,45
413,44
414,43
415,42
416,40
417,37
418,35
419,33
420,31
421,29
422,27
423,24
424,21
425,20
426,21
427,24
428,26
429,26
430,24
431,22
432,22
433,23
434,26
435,28
436,29
437,28
438,28
439,28
440,29
441,30
442,31
443,31
444,31
445,29
446,28
447,27
448,28
449,29
450,30
451,32
452,34
453,36
454,39
455,41
456,43
457,43
458,42
459,40
460,38
461,36
462,34
463,34
464,34
465,35
466,35
467,36
468,37
469,38
470,39
471,38
472,38
473,39
474,40
475,41
476,43
477,44
478,45
479,44
480,43
481,42
482,40
483,38
484,35
485,33
486,31
487,29
488,28
489,27
490,24
491,21
492,20
493,21
494,24
495,28
496,29
497,27
498,22
499,16
500,14
501,16
502,19
503,22
504,22
505,21
506,21
507,23
508,29
509,35
510,41
511,44
512,44
513,41
514,38
515,35
516,32
517,31
518,31
519,33
520,35
521,38
522,40
523,42
524,43
525,44
526,44
527,43
528,42
529,40
530,38
531,36
532,35
533,32
534,31
535,30
536,30
537,32
538,35
539,37
540,39
541,39
542,39
543,38
544,38
545,38
546,40
547,41
548,42
549,43
550,43
551,42
552,41
553,39
554,38
555,37
556,35
557,34
558,33
559,31
560,29
561,28
562,27
563,26
564,25
565,25
566,23
567,21
568,20
569,21
570,22
571,25
572,28
573,30
574,30
575,29
576,27
577,26
578,25
579,26
580,27
581,28
582,29
583,30
584,30
585,31
586,33
587,35
588,37
589,39
590,39
591,40
592,40
593,42
594,44
595,46
596,47
597,47
598,45
599,43
600,42
601,41
602,41
603,41
604,42
605,41
606,40
607,39
608,40
609,41
610,43
611,44
612,46
613,46
614,47
615,46
616,46
617,44
618,43
619,42
620,40
621,38
622,36
623,33
624,32
625,31
626,31
627,32
628,31
629,29
630,27
631,26
632,27
633,30
634,32
635,30
636,24
637,17
638,12
639,12
640,16
641,23
642,27
643,29
644,28
645,27
646,26
647,26
648,28
649,29
650,29
651,29
652,28
653,28
654,29
655,30
656,31
657,31
658,32
659,34
660,36
661,40
662,43
663,45
664,46
665,45
666,43
667,42
668,40
669,39
670,38
671,37
672,37
673,37
674,37
675,38
676,39
677,40
678,39
679,39
680,38
681,38
682,39
683,39
684,39
685,38
686,37
687,35
688,34
689,32
690,31
691,30
692,29
693,29
694,29
695,29
696,28
697,28
698,28
699,27
700,27
701,27
702,26
703,23
704,20
705,18
706,19
707,21
708,24
709,27
710,29
711,30
712,31
713,32
714,33
715,33
716,33
717,31
718,29
719,27
720,27
721,28
722,30
723,32
724,34
725,36
726,37
727,39
728,40
729,41
730,42
731,42
732,41
733,40
734,40
735,40
736,40
737,39
738,39
739,38
740,38
741,39
742,40
743,42
744,43
745,43
746,42
747,42
748,41
749,41
750,42
751,42
752,41
753,41
754,39
755,37
756,35
757,34
758,33
759,33
760,34
761,34
762,32
763,30
764,29
765,29
766,30
767,31
768,31
769,30
770,28
771,26
772,26
773,26
774,26
775,26
776,24
777,23
778,23
779,24
780,26
781,28
782,30
783,30
784,30
785,29
786,29
787,30
788,31
789,32
790,32
791,31
792,30
793,29
794,28
795,29
796,30
797,31
798,32
799,32
800,31
801,29
802,28
803,28
804,31
805,35
806,39
807,42
808,43
809,44
810,45
811,47
812,49
813,52
814,53
815,53
816,51
817,48
818,45
819,44
820,45
821,46
822,47
823,47
824,45
825,42
826,38
827,34
828,31
829,30
830,30
831,32
832,34
833,34
834,34
835,31
836,28
837,26
838,23
839,21
840,19
841,17
842,14
843,12
844,12
845,14
846,15
847,17
848,18
849,19
850,20
851,22
852,25
853,26
854,27
855,26
856,25
857,24
858,24
859,26
860,29
861,32
862,36
863,38
864,38
865,36
866,33
867,28
868,25
869,22
870,22
871,24
872,27
873,30
874,34
875,36
876,38
877,39
878,40
879,40
880,41
881,41
882,42
883,43
884,44
885,45
886,45
887,44
888,42
889,40
890,38
891,37
892,36
893,35
894,35
895,34
896,32
897,30
898,30
899,31
900,34
901,38
902,39
903,36
904,31
905,26
906,23
907,24
908,28
909,33
910,37
911,38
912,37
913,35
914,31
915,28
916,26
917,25
918,25
919,27
920,29
921,32
922,33
923,35
924,35
925,36
926,37
927,39
928,41
929,43
930,43
931,43
932,43
933,42
934,41
935,39
936,38
937,36
938,34
939,32
940,32
941,33
942,35
943,37
944,40
945,42
946,42
947,43
948,44
949,44
950,45
951,45
952,45
953,45
954,43
955,42
956,40
957,38
958,37
959,36
960,35
961,35
962,34
963,33
964,30
965,27
966,25
967,23
968,23
969,23
970,23
971,21
972,17
973,13
974,11
975,12
976,16
977,21
978,25
979,28
980,29
981,28
982,26
983,24
984,23
985,24
986,25
987,27
988,30
989,32
990,33
991,34
992,33
993,33
994,34
995,34
996,36
997,37
998,39
999,41
1000,43
1001,44
1002,45
1003,45
1004,44
1005,44
1006,43
1007,43
1008,43
1009,44
1010,46
1011,49
1012,51
1013,53
1014,53
1015,52
1016,51
1017,49
1018,47
1019,46
1020,45
1021,43
1022,42
1023,40
1024,39
1025,38
1026,37
1027,36
1028,34
1029,31
1030,28
1031,26
1032,23
1033,21
1034,18
1035,16
1036,16
1037,17
1038,19
1039,22
1040,26
1041,27
1042,28
1043,28
1044,26
1045,25
1046,24
1047,23
1048,23
1049,23
1050,23
1051,24
1052,24
1053,24
1054,24
1055,25
1056,27
1057,30
1058,32
1059,34
1060,35
1061,35
1062,35
1063,36
1064,37
1065,37
1066,37
1067,35
1068,33
1069,31
1070,30
1071,31
1072,33
1073,36
1074,40
1075,43
1076,46
1077,48
1078,49
1079,50
1080,50
1081,48
1082,47
1083,45
1084,44
1085,42
1086,40
1087,38
1088,36
1089,35
1090,34
1091,34
1092,33
1093,33
1094,32
1095,31
1096,31
1097,32
1098,34
1099,33
1100,30
1101,24
1102,17
1103,14
1104,14
1105,19
1106,25
1107,31
1108,34
1109,34
1110,33
1111,30
1112,28
1113,27
1114,29
1115,31
1116,35
1117,37
1118,38
1119,38
1120,35
1121,33
1122,32
1123,32
1124,33
1125,35
1126,36
1127,36
1128,35
1129,35
1130,35
1131,36
1132,38
1133,38
1134,38
1135,38
1136,36
1137,35
1138,36
1139,37
1140,40
1141,43
1142,46
