,0
0,35
1,35
2,34
3,33
4,32
5,30
6,28
7,27
8,25
9,24
10,23
11,23
12,22
13,22
14,22
15,23
16,25
17,27
18,30
19,33
20,36
21,39
22,42
23,45
24,48
25,49
26,47
27,43
28,37
29,32
30,31
31,36
32,44
33,52
34,57
35,57
36,53
37,47
38,42
39,39
40,36
41,33
42,31
43,29
44,29
45,29
46,28
47,27
48,25
49,23
50,22
51,23
52,24
53,25
54,24
55,23
56,21
57,20
58,20
59,21
60,22
61,24
62,24
63,25
64,26
65,28
66,32
67,36
68,40
69,42
70,42
71,41
72,39
73,38
74,38
75,39
76,39
77,40
78,40
79,39
80,38
81,38
82,38
83,38
84,38
85,38
86,38
87,37
88,37
89,36
90,36
91,36
92,36
93,36
94,37
95,38
96,39
97,39
98,38
99,36
100,34
101,32
102,30
103,29
104,29
105,29
106,30
107,30
108,30
109,30
110,29
111,29
112,29
113,28
114,28
115,29
116,30
117,31
118,31
119,30
120,28
121,26
122,26
123,28
124,31
125,36
126,40
127,42
128,42
129,41
130,39
131,38
132,36
133,34
134,31
135,29
136,27
137,27
138,28
139,30
140,31
141,32
142,31
143,31
144,31
145,32
146,34
147,35
148,35
149,33
150,31
151,29
152,28
153,30
154,33
155,36
156,40
157,42
158,44
159,45
160,46
161,46
162,44
163,42
164,41
165,41
166,42
167,43
168,44
169,42
170,40
171,37
172,34
173,34
174,34
175,35
176,35
177,34
178,32
179,31
180,30
181,29
182,30
183,32
184,34
185,36
186,36
187,35
188,33
189,31
190,29
191,29
192,29
193,30
194,30
195,31
196,31
197,31
198,31
199,31
200,30
201,29
202,29
203,29
204,29
205,30
206,31
207,32
208,32
209,33
210,34
211,34
212,36
213,37
214,38
215,38
216,38
217,36
218,35
219,33
220,32
221,30
222,29
223,28
224,28
225,30
226,33
227,36
228,39
229,39
230,37
231,33
232,30
233,29
234,29
235,30
236,32
237,33
238,35
239,36
240,37
241,38
242,39
243,38
244,37
245,34
246,32
247,30
248,28
249,27
250,28
251,28
252,29
253,30
254,32
255,34
256,36
257,36
258,35
259,33
260,32
261,31
262,32
263,33
264,35
265,36
266,37
267,37
268,36
269,35
270,34
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,34
279,34
280,35
281,35
282,35
283,35
284,34
285,33
286,33
287,32
288,32
289,32
290,32
291,32
292,33
293,33
294,34
295,34
296,33
297,32
298,31
299,30
300,30
301,30
302,32
303,35
304,37
305,39
306,40
307,39
308,37
309,36
310,35
311,37
312,39
313,42
314,44
315,44
316,40
317,34
318,29
319,26
320,29
321,35
322,42
323,46
324,45
325,42
326,39
327,38
328,40
329,42
330,44
331,45
332,45
333,43
334,41
335,39
336,38
337,37
338,37
339,35
340,32
341,29
342,25
343,24
344,24
345,27
346,30
347,32
348,31
349,29
350,27
351,25
352,25
353,26
354,27
355,27
356,26
357,25
358,24
359,26
360,29
361,32
362,35
363,36
364,35
365,34
366,32
367,31
